License plate,Frame no.,Timestamp(seconds)
5-KKL-63,34 ,1.822 
PX-FD-96,53 ,3.371 
07-HT-XD,98 ,6.929 
88-SLV-9,123 ,9.399 
4-TSX-79,176 ,12.910 
47-RS-HJ,183 ,15.403 
94-RV-BL,237 ,20.885 
8-VXZ-62,254 ,22.536 
88-BB-TS,304 ,25.419 
87-VB-TR,336 ,27.847 
XL-LH-20,378 ,31.030 
91-SZ-GH,425 ,33.136 
60-LX-XP,442 ,37.902 
20-DL-PN,469 ,40.333 
06-KDT-6,521 ,44.415 
10-PPD-2,565 ,47.849 
99-TH-PZ,609 ,49.385 
87-SK-TJ,614 ,52.580 
58-NFH-5,672 ,55.908 
73-SV-NF,713 ,58.682 
49-HT-RK,724 ,62.726 
3-KGD-65,760 ,63.309 
TF-TB-20,819 ,68.800 
28-NHH-7,846 ,70.321 
04-HH-DP,881 ,74.727 
15-TR-NV,933 ,76.404 
10-PFJ-8,946 ,79.494 
RN-HH-98,998 ,82.657 
58-TG-NK,1038 ,86.763 
BS-DJ-49,1066 ,87.255 
41-JS-SB,1107 ,92.203 
46-LS-KV,1171 ,96.380 
46-LJG-1,1238 ,102.391 
HL-FP-34,1265 ,107.006 
51-LR-BN,1313 ,111.567 
19-DG-SF,1368 ,114.095 
16-PTG-8,1450 ,121.055 
15-TP-SH,1507 ,124.411 
RZ-ZN-62,1574 ,131.032 
61-XXZ-9,1631 ,135.360 
79-NK-JK,1645 ,139.830 
59-KTJ-5,1647 ,139.645 
96-ZND-7,1704 ,142.169 
18-VL-PK,1709 ,141.710 
SV-FZ-63,1717 ,144.704 
23-JJ-JJ,1735 ,143.489 
08-JKJ-2,1774 ,148.520 
39-TF-DR,1784 ,146.727 
RF-GD-58,1818 ,150.387 
38-NZ-JT,1804 ,149.781 
EH3201BP,1842 ,154.443 
B102AMT,1873 ,156.538 
RECM2111,1914 ,159.548 
096-BZN,1967 ,162.263 
VFD88,1990 ,166.259 
